expert,code,CU_group,Estimate,Value,Strategy,Est.Type
23,mm,Chinook_LFR_SU_1.3,BSL_lower,20,BSL,Lower
23,mm,Chinook_LFR-Upper_Pitt_SU_1.3,BSL_lower,10,BSL,Lower
23,mm,Chinook_BB_FA_0.3,BSL_lower,10,BSL,Lower
23,mm,Chum_LFR,BSL_lower,20,BSL,Lower
23,mm,Coho_Lillooet,BSL_lower,20,BSL,Lower
23,mm,Coho_LFR,BSL_lower,20,BSL,Lower
23,mm,Coho_BB,BSL_lower,10,BSL,Lower
23,mm,Pink_FR,BSL_lower,20,BSL,Lower
23,mm,Sockeye_Chilliwack_ES,BSL_lower,20,BSL,Lower
23,mm,Sockeye_Cultus_Late,BSL_lower,0,BSL,Lower
23,mm,Sockeye_Harrison_Down_Late(Big_Silver),BSL_lower,20,BSL,Lower
23,mm,Sockeye_Harrison_Up_Late(Weaver),BSL_lower,0,BSL,Lower
23,mm,Sockeye_Pitt_ES,BSL_lower,20,BSL,Lower
23,mm,Sockeye_Lillooet/Harrison_Late(Birk),BSL_lower,0,BSL,Lower
23,mm,Sockeye_Harrison_River,BSL_lower,20,BSL,Lower
23,mm,Sockeye_Widgeon_River,BSL_lower,0,BSL,Lower
24,7N,Chinook_LFR_FA_0.3,BSL_lower,25,BSL,Lower
24,7N,Chinook_Maria_Slough_SU_0.3,BSL_lower,25,BSL,Lower
24,7N,Chinook_LFR_SP_1.3,BSL_lower,25,BSL,Lower
24,7N,Chinook_LFR_SU_1.3,BSL_lower,25,BSL,Lower
24,7N,Chinook_LFR-Upper_Pitt_SU_1.3,BSL_lower,25,BSL,Lower
24,7N,Chinook_BB_FA_0.3,BSL_lower,25,BSL,Lower
24,7N,Chum_LFR,BSL_lower,25,BSL,Lower
24,7N,Coho_Lillooet,BSL_lower,25,BSL,Lower
24,7N,Coho_LFR,BSL_lower,25,BSL,Lower
24,7N,Coho_BB,BSL_lower,25,BSL,Lower
24,7N,Pink_FR,BSL_lower,25,BSL,Lower
24,7N,Sockeye_Chilliwack_ES,BSL_lower,25,BSL,Lower
24,7N,Sockeye_Cultus_Late,BSL_lower,0,BSL,Lower
24,7N,Sockeye_Harrison_Down_Late(Big_Silver),BSL_lower,25,BSL,Lower
24,7N,Sockeye_Harrison_Up_Late(Weaver),BSL_lower,25,BSL,Lower
24,7N,Sockeye_Pitt_ES,BSL_lower,0,BSL,Lower
24,7N,Sockeye_Lillooet/Harrison_Late(Birk),BSL_lower,25,BSL,Lower
24,7N,Sockeye_Harrison_River,BSL_lower,25,BSL,Lower
24,7N,Sockeye_Widgeon_River,BSL_lower,25,BSL,Lower
25,Ik,Chinook_LFR_FA_0.3,BSL_lower,25,BSL,Lower
25,Ik,Chinook_Maria_Slough_SU_0.3,BSL_lower,20,BSL,Lower
25,Ik,Chinook_LFR_SP_1.3,BSL_lower,10,BSL,Lower
25,Ik,Chinook_LFR_SU_1.3,BSL_lower,10,BSL,Lower
25,Ik,Chum_LFR,BSL_lower,10,BSL,Lower
25,Ik,Coho_Lillooet,BSL_lower,10,BSL,Lower
25,Ik,Coho_LFR,BSL_lower,10,BSL,Lower
25,Ik,Pink_FR,BSL_lower,45,BSL,Lower
25,Ik,Sockeye_Chilliwack_ES,BSL_lower,30,BSL,Lower
25,Ik,Sockeye_Cultus_Late,BSL_lower,30,BSL,Lower
25,Ik,Sockeye_Harrison_Down_Late(Big_Silver),BSL_lower,30,BSL,Lower
25,Ik,Sockeye_Harrison_Up_Late(Weaver),BSL_lower,30,BSL,Lower
25,Ik,Sockeye_Lillooet/Harrison_Late(Birk),BSL_lower,30,BSL,Lower
25,Ik,Sockeye_Harrison_River,BSL_lower,30,BSL,Lower
